0.005
0.0003	197	0.000
0.0050	248	0.000
0.0100	336	0.000
0.0150	420	0.000
0.0200	475	0.000
0.0250	518	0.000
0.0300	550	0.000
0.0350	554	0.000
0.0400	512	0.000
0.0450	460	0.000
0.0500	355	0.000
0.0550	266	0.000
0.0600	233	0.000
0.0650	215	0.000
0.0700	206	0.000
0.0750	200	0.000
0.0800	194	0.000
0.0850	197	0.000
0.0900	200	0.000
0.0950	203	0.000
0.1000	209	0.000
0.1050	217	0.000
0.1100	263	0.000
0.1150	357	0.000
0.1200	450	0.000
0.1250	525	0.000
0.1300	577	0.000
0.1350	572	0.000
0.1400	510	0.000
0.1450	548	0.000
0.1500	551	0.000
0.1550	542	0.000
0.1600	530	0.000
0.1650	448	0.000
0.1700	303	0.000
0.1750	245	0.000
0.1800	215	0.000
0.1850	206	0.000
0.1900	200	0.000
0.1950	198	0.000
0.2000	199	0.000
0.2050	195	0.000
0.2100	184	0.000
0.2150	194	0.000
0.2200	246	0.000
0.2250	334	0.000
0.2300	418	0.000
0.2350	473	0.000
0.2400	516	0.000
0.2450	549	0.000
0.2500	556	0.000
0.2550	515	9.091
0.2600	463	9.091
0.2650	364	9.091
0.2700	269	9.091
0.2750	234	9.091
0.2800	216	9.091
0.2850	206	9.091
0.2900	199	9.091
0.2950	195	9.091
0.3000	197	9.091
0.3050	200	9.091
0.3100	204	9.091
0.3150	209	9.091
0.3200	218	9.091
0.3250	263	9.091
0.3300	352	9.091
0.3350	448	9.091
0.3400	520	9.091
0.3450	579	9.091
0.3500	589	9.091
0.3550	532	9.091
0.3600	539	9.091
0.3650	560	9.091
0.3700	550	9.091
0.3750	541	9.091
0.3800	522	9.091
0.3850	403	9.091
0.3900	285	9.091
0.3950	238	9.091
0.4000	213	9.091
0.4050	204	9.091
0.4100	199	9.091
0.4150	198	9.091
0.4200	198	9.091
0.4250	196	9.091
0.4300	189	9.091
0.4350	180	9.091
0.4400	210	9.091
0.4450	273	9.091
0.4500	360	9.091
0.4550	435	9.091
0.4600	489	9.091
0.4650	527	9.091
0.4700	555	9.091
0.4750	563	9.091
0.4800	523	9.091
0.4850	472	9.091
0.4900	405	9.091
0.4950	281	9.091
0.5000	243	9.091
0.5050	221	4.444
0.5100	211	4.444
0.5150	202	4.444
0.5200	197	4.444
0.5250	193	4.444
0.5300	197	4.444
0.5350	200	4.444
0.5400	202	4.444
0.5450	207	4.444
0.5500	213	4.444
0.5550	232	4.444
0.5600	294	4.444
0.5650	386	4.444
0.5700	472	4.444
0.5750	541	4.444
0.5800	595	4.444
0.5850	607	4.444
0.5900	564	4.444
0.5950	530	4.444
0.6000	564	4.444
0.6050	559	4.444
0.6100	554	4.444
0.6150	536	4.444
0.6200	508	4.444
0.6250	367	4.444
0.6300	274	4.444
0.6350	234	4.444
0.6400	211	4.444
0.6450	203	4.444
0.6500	200	4.444
0.6550	197	4.444
0.6600	198	4.444
0.6650	196	4.444
0.6700	193	4.444
0.6750	184	4.444
0.6800	190	4.444
0.6850	231	4.444
0.6900	306	4.444
0.6950	389	4.444
0.7000	454	4.444
0.7050	502	4.444
0.7100	538	4.444
0.7150	563	4.444
0.7200	577	4.444
0.7250	537	4.444
0.7300	487	4.444
0.7350	442	4.444
0.7400	317	4.444
0.7450	259	4.444
0.7500	231	4.444
0.7550	214	7.407
0.7600	207	7.407
0.7650	201	7.407
0.7700	196	7.407
0.7750	193	7.407
0.7800	196	7.407
0.7850	199	7.407
0.7900	201	7.407
0.7950	204	7.407
0.8000	209	7.407
0.8050	216	7.407
0.8100	246	7.407
0.8150	313	7.407
0.8200	406	7.407
0.8250	486	7.407
0.8300	552	7.407
0.8350	603	7.407
0.8400	624	7.407
0.8450	605	7.407
0.8500	533	7.407
0.8550	547	7.407
0.8600	570	7.407
0.8650	564	7.407
0.8700	558	7.407
0.8750	545	7.407
0.8800	530	7.407
0.8850	465	7.407
0.8900	332	7.407
0.8950	264	7.407
0.9000	233	7.407
0.9050	211	7.407
0.9100	204	7.407
0.9150	201	7.407
0.9200	197	7.407
0.9250	197	7.407
